Date,Close/Last,Volume,Open,High,Low
04/12/2025,85526.40,N/A,82967.70,85999.50,84749.90
04/11/2025,83084.10,N/A,80812.40,83558.10,82828.00
04/10/2025,80775.10,N/A,81754.00,80805.40,79004.20
04/09/2025,81683.20,N/A,75051.10,82737.50,81482.20
04/08/2025,75210.70,N/A,79894.60,76830.70,74657.30
04/07/2025,79783.00,N/A,77701.40,80839.80,78860.20
04/06/2025,77425.30,N/A,83334.70,79315.60,77364.50
04/05/2025,83285.70,N/A,83643.50,83731.70,83184.60
04/04/2025,83724.00,N/A,82803.00,84249.30,83472.90
04/03/2025,82806.90,N/A,83474.40,83396.30,82621.30
04/02/2025,83465.90,N/A,84568.00,83908.90,82193.80
04/01/2025,84595.60,N/A,82961.30,85249.60,84528.70
03/31/2025,83003.00,N/A,81520.70,83238.20,82435.80
03/30/2025,81573.80,N/A,83099.50,82408.00,81300.10
03/29/2025,82450.50,N/A,84410.40,84603.40,81668.20
03/28/2025,84234.70,N/A,86794.60,84603.40,83727.60
03/27/2025,86798.80,N/A,87663.60,87507.50,86764.30
03/26/2025,87641.40,N/A,87153.80,87751.40,86808.00
03/25/2025,87079.20,N/A,86523.60,87877.90,87079.20
03/24/2025,86501.20,N/A,86557.90,87680.40,86363.40
03/23/2025,86390.10,N/A,84207.50,86609.50,85541.60
03/22/2025,84249.10,N/A,84251.20,84275.40,83812.70
03/21/2025,84222.60,N/A,84446.90,84329.70,83987.30
03/20/2025,84476.00,N/A,85893.10,84831.00,84176.00
03/19/2025,85863.20,N/A,83047.50,87419.00,85658.00
03/18/2025,82962.40,N/A,83145.60,83243.70,82557.50
03/17/2025,83746.50,N/A,83054.20,84019.10,83722.60
03/16/2025,83665.40,N/A,84341.50,83665.40,82565.10
03/15/2025,84295.10,N/A,84492.80,84364.60,83753.50
03/14/2025,84479.00,N/A,81891.20,84679.50,83974.20
03/13/2025,81809.90,N/A,83576.20,82241.10,80833.20
